"tree.uniqueID","X","Y"
"9pc2_355",-119.015020149117,37.6887821532041
"9pc2_357",-119.015079212911,37.6888178516147
"9pc2_358",-119.015072742908,37.6888267828875
"9pc2_359",-119.015009376895,37.688774322499
"9pc2_360",-119.01501969555,37.6887724882197
"9pc2_361",-119.015064271872,37.6888291574454
"9pc2_362",-119.015113010341,37.6888035575763
"9pc2_363",-119.015140884717,37.6888540769637
"9pc2_364",-119.015067306771,37.6888172513051
"9pc2_365",-119.01500903672,37.6887795918832
"9pc2_367",-119.015010170638,37.6887765236342
"9pc2_369",-119.01501782792,37.6887781978309
"9pc2_371",-119.015079212911,37.6888178516147
"9pc2_373",-119.015014386145,37.6887797786462
"9pc2_374",-119.015070288309,37.6888214868228
"9pj2_399",-119.015147434762,37.6888430245971
"9pj2_405",-119.015147294689,37.6888461928977
"9pj2_4",-119.015172844571,37.6886587202057
"9ac2_1",-119.015183185397,37.6886753852247
"9pj2_389",-119.01514444885,37.6886560244784
"9pj2_388",-119.01516289214,37.6886498518727
"9ac2_352",-119.015132717125,37.6886739975899
"9pj2_2",-119.015147501019,37.6887015935821
"9pj2_1",-119.015142080075,37.6887115699877
"9pj2_3",-119.015136311426,37.6887096839886
"9pj2_427",-119.015187560675,37.6887401322391
"9pj2_5",-119.015193308423,37.6887435474578
"9pj2_6",-119.015194081564,37.6887518887882
"9pj2_398",-119.015185154429,37.6887414571711
"9pj2_7",-119.015216091301,37.6887413937368
"9pj2_8",-119.015231690044,37.688741801055
"9pj2_403",-119.015258073128,37.6887584963378
"9pj2_397",-119.015252938087,37.6887779127473
"9pj2_434",-119.015315930688,37.6887342460583
"9ac2_353",-119.015380993506,37.6887165503219
"9ac2_351",-119.015233552431,37.6886527725121
"9pj2_385",-119.015311758722,37.6886359957553
"9pj2_386",-119.015319601351,37.6886152749575
"9pj2_387",-119.015298773276,37.6886119576771
"9ac2_2",-119.015336600499,37.6886198199425
"9pj2_396",-119.015327180732,37.6885687590468
"9pj2_390",-119.015221593119,37.6885541594274
"9pj2_391",-119.015226441001,37.6885504515229
"9pj2_393",-119.01519848606,37.6885212679321
"9pj2_384",-119.015132114047,37.6885372208536
"9pj2_394",-119.015119799402,37.6885309293641
"9pj2_395",-119.01509831908,37.6885508654127
"9pj2_392",-119.01510721319,37.6885611827936
"9pj2_416",-119.014969506381,37.6886425042227
"9pj2_421",-119.015005693288,37.6886529264101
"9pj2_414",-119.015006141298,37.6886674179249
"9pj2_409",-119.01502093299,37.6886470324395
"9pj2_426",-119.015019940287,37.6886326382369
"9pj2_406",-119.014993878663,37.688705242596
"9pj2_413",-119.014977843542,37.6887017866698
"9pj2_412",-119.014987441423,37.6887081344596
"9pj2_435",-119.015003951373,37.6886996954407
"9pc2_379",-119.015032218044,37.6887181159512
"9pj2_431",-119.015066086238,37.6886884754851
"9pj2_418",-119.015075060427,37.6887251213273
"9pj2_429",-119.015083019169,37.6887392842966
"9pj2_404",-119.015093428628,37.6887107277463
"9pj2_401",-119.015084852885,37.6886843483179
"9pj2_400",-119.015081035798,37.6886842379168
"9pc2_382",-119.015089997797,37.6887888962225
"9pc2_377",-119.015119433209,37.688804450887
"9pc2_383",-119.015096744245,37.6888034052818
"9pc2_381",-119.015139953358,37.6888260273077
"9pj2_422",-119.01513370461,37.6888414674788
"9pj2_425",-119.015149494061,37.6888812840351
"9pj2_436",-119.015171784477,37.6888656931533
"9pc2_375",-119.015119347152,37.6888509260943
"9pj2_402",-119.015107652787,37.6888579726054
"9pc2_366",-119.015058786566,37.6888736564571
"9pj2_410",-119.015042434417,37.6888963036854
"9pc2_372",-119.015054200739,37.6888470728104
"9pc2_380",-119.015042702536,37.6888399593882
"9pc2_376",-119.015085327977,37.6888463558927
"9pc2_370",-119.015074433207,37.6888492974707
"9pj2_432",-119.015048027638,37.6888076444027
"9pj2_424",-119.015015288154,37.688831417824
"9pj2_419",-119.015041938692,37.6887941087116
"9pc2_378",-119.015017856822,37.6887969560786
"9pj2_417",-119.015010576693,37.6887654976622
"9pj2_423",-119.015009632281,37.6887710045972
"9pc2_356",-119.015048316128,37.6888019138379
"9pj2_415",-119.014936653231,37.688718592643
"9pj2_420",-119.014962246181,37.688758241798
"9pj2_430",-119.01495560746,37.6887365711247
"9pj2_408",-119.014946635279,37.6887980619542
"9pj3_1",-119.013214338237,37.6894378369981
"9am3_1",-119.013266099618,37.68945738835
"9am3_3",-119.013275731867,37.6894265174443
"9am3_2",-119.013307676827,37.6894377912225
"9pj3_4",-119.013339337535,37.6894129694685
"9pj3_3",-119.013262906181,37.6893775341703
"9pj3_2",-119.013207920255,37.6893926315179
"9am1_1",-119.014299732079,37.6893985028978
"9pj1_1",-119.014332050239,37.6893970482115
"9pj1_2",-119.014348889988,37.6893791190195
"9pj1_3",-119.014367626895,37.6894212026397
"9pj1_4",-119.014380409729,37.6893914995867
"9am1_2",-119.01435206304,37.6893602362207
"9am1_3",-119.01439361447,37.6894487523857
"9am1_4",-119.014463376697,37.6893714383585
"9pj1_6",-119.01445989928,37.6894423015977
"9pj1_5",-119.01435096564,37.689454728954
"9pj1_7",-119.014555365867,37.6894314485428
"9am3_5",-119.013329839556,37.6893569425103
"9pj3_5",-119.013229195411,37.6892957964048
"9am3_4",-119.01322211385,37.6892894859283
"9pj3_6",-119.013298361147,37.6893159818466
"9pj1_1178",-119.014279993954,37.6895149051635
"9pj1_1179",-119.014318241183,37.6894893402508
"9pj1_1180",-119.014315924638,37.6895016307282
"9pj1_1181",-119.014315104678,37.6895622976428
"9pj1_1182",-119.014324488615,37.6894971667905
"9pj1_1183",-119.01433049404,37.6894997601889
"9pj1_1184",-119.014328364468,37.6895210273698
"9pj1_1185",-119.014334820623,37.6895511213541
"9pj1_1186",-119.014352354824,37.6895453914679
"9pj1_1188",-119.014363523199,37.6895348901786
"9pj1_1189",-119.014366465036,37.689521560438
"9pj1_1190",-119.014374397035,37.6895120007737
"9pj1_1191",-119.014373929311,37.6895026549202
"9pj1_1192",-119.01438539022,37.6895091763474
"9pj1_1193",-119.014402351961,37.6895153100466
"9pj1_1194",-119.01440161077,37.6895006454575
"9pj1_1194",-119.014393827803,37.6894942673315
"9pj1_1196",-119.014369379282,37.6894769260821
"9pj1_1197",-119.014408947293,37.6894940074779
"9pj1_1198",-119.014421553175,37.6894894885879
"9pj1_1199",-119.014336834288,37.689497694603
"9pj1_1200",-119.014340284868,37.6894858317437
"9pc1_1201",-119.014342726258,37.6895020500112
"9pj1_1202",-119.014346651882,37.6895016224349
"9pj1_1203",-119.014347267623,37.6894930929036
"9pj1_1187",-119.014354072813,37.6895467966355
"9pj1_1204",-119.014371830104,37.6894292554634
"9pj1_1205",-119.014374136545,37.6894340562796
"9pj1_1206",-119.014387773761,37.6894244230623
"9pj1_1207",-119.014360336578,37.6895392126503
"9pj1_1208",-119.014346959486,37.6895727079754
"9pj1_1209",-119.014338205913,37.6896058770563
"9pj1_1210",-119.014349125428,37.6896061137957
"9pj1_1211",-119.014370535329,37.6896075721553
"9pj1_1212",-119.014373909869,37.6895899050134
"9pj1_1213",-119.014370292721,37.6895791143707
"9pj1_1214",-119.014375486054,37.6895896629388
"9pj1_1215",-119.014369438611,37.6895765666749
"9pj1_1218",-119.014377377516,37.6895773683538
"9pj1_1219",-119.014395429412,37.6895923297546
"9pj1_1220",-119.01438879462,37.6895775944891
"9pj1_1216",-119.01438484726,37.6895826745301
"9pj1_1217",-119.014381830372,37.6895825791571
"9pj1_1221",-119.014406599926,37.6895755741088
"9pj1_1222",-119.014415112817,37.6895785917249
"9pj1_1223",-119.014416697003,37.6895711419133
"9pj1_1224",-119.014420285159,37.6895561911884
"9pj1_1225",-119.01443389566,37.6895563154451
"9pj1_1226",-119.014444761785,37.6895495551285
"9pj1_1227",-119.014500174561,37.6895373307947
"9pj1_1228",-119.01447903451,37.6895148265689
"9pj1_1229",-119.014525564739,37.6894944557135
"9pj1_1230",-119.01455281342,37.6895095385488
"9pj1_1231",-119.014561868127,37.689503897493
"9pj1_1232",-119.014545596491,37.6894998968178
"9pj1_1233",-119.014563136363,37.6894926089492
"9pj1_1234",-119.014557181254,37.6894776738943
"9pj1_1235",-119.014544938859,37.6894672490866
"9pj1_1236",-119.014527502774,37.6894641214479
"9pc1_1237",-119.014539932289,37.6894572796692
"9pj1_1238",-119.014500414089,37.6894620043442
"9pj1_1239",-119.014498685746,37.6894572729938
"9pj1_1240",-119.014493158982,37.6894582853462
"9pj1_1241",-119.014532427568,37.6894510156493
"9pj1_1242",-119.01453037737,37.6894444733071
"9pj1_1243",-119.01453130244,37.6894395176114
"9pj1_1244",-119.01448390131,37.6894451939014
"9pj1_1245",-119.014482667937,37.6894411121618
"9pj1_1246",-119.014493193052,37.6894400178822
"9pj1_1247",-119.014497546684,37.6894464718176
"9pj1_1248",-119.014527519804,37.6894201054319
"9pj1_1249",-119.014532896502,37.6894095230801
"9pj1_1250",-119.014455884852,37.6894412144021
"9pj1_1251",-119.014452504413,37.6894629051983
"9pj1_1252",-119.014458074165,37.6894174542683
"9pj1_1253",-119.014463239183,37.6894118734941
"9pj1_1254",-119.014476273669,37.6894099775308
"9pj1_1255",-119.014502652132,37.6894024003741
"9pc1_1256",-119.014499995558,37.6894021771943
"9pj1_1257",-119.014494841083,37.6893983241607
"9am1_1258",-119.01449277985,37.6893949612879
"9pj1_1259",-119.014510911418,37.6893832315824
"9pc1_1260",-119.014493309406,37.6893772682338
"9pj1_1261",-119.014494036759,37.6893752326358
"9pj1_1262",-119.014478890073,37.6893739089239
"9pj1_1273",-119.014480631198,37.6893147028211
"9pj1_1274",-119.014481543635,37.6893078155021
"9pj1_1275",-119.014463521779,37.6893132441244
"9pj1_1276",-119.014454802013,37.6893338770728
"9pj1_1277",-119.014443635667,37.6893366827643
"9pj1_1278",-119.014435384646,37.6893247909428
"9pj1_1279",-119.014423229682,37.6893552368691
"9pj1_1280",-119.0144286769,37.6893737844899
"9pj1_1281",-119.014401717774,37.6893487098074
"9pj1_1282",-119.014389940674,37.6893572231411
"9pj1_1283",-119.014359643626,37.6893402863887
"9pj1_1283",-119.014350952889,37.6893368515862
"9pj1_1285",-119.014386946374,37.6893785344705
"9pj1_1286",-119.01439292331,37.6893796925433
"9pj1_1287",-119.014395607818,37.6893864812125
"9pj1_1288",-119.014399302145,37.6893973699887
"9pj1_1289",-119.014370691198,37.689407590536
"9pj1_1290",-119.014343702156,37.6893692495893
"9pj1_1291",-119.014325535163,37.6893760274362
"9pj1_1292",-119.014360953975,37.6893547842885
"9pj1_1264",-119.014513513583,37.6893277629125
"9pj1_1265",-119.01451739591,37.6893312789864
"9pj1_1266",-119.014493919341,37.6893323026056
"9pj1_1267",-119.014515130241,37.6893403041128
"9pj1_1268",-119.014525067362,37.6893493492402
"9pj1_1269",-119.014503592405,37.6893503184828
"9pj1_1270",-119.014497546331,37.6893675812864
"9pc1_1271",-119.014471058264,37.6893513384788
"9pj1_1272",-119.014449365311,37.689369508467
"9pj1_1263",-119.014512580428,37.6893149270257
"9pj1_1293",-119.0145020871,37.689259321008
"9pj1_1294",-119.014459142219,37.6892623455438
"9pc1_1295",-119.014470974418,37.6892305331252
"9pj1_1296",-119.014460339762,37.6892372968203
"9pj1_1297",-119.01444118529,37.6892542532463
"9pj1_1298",-119.014395363186,37.6892137508494
"9pj1_1299",-119.014363910272,37.6892068383793
"9pj1_1300",-119.01436789804,37.6892003476942
"9pj1_1301",-119.014367268315,37.6892540478925
"9pj1_1302",-119.014342374487,37.6892445865943
"9pj1_1303",-119.014349110659,37.6892305087153
"9pj1_1304",-119.014354564675,37.6892573745758
"9pj1_1305",-119.014348869236,37.6892739666732
"9pj1_1306",-119.014318235083,37.6892369509175
"9pj1_1307",-119.014296248516,37.6892524960109
