"focalID","focalDBH","focalBA","hegyi","BA"
"4ac1_105",45.6,0.1633129344,2.78582890557321,316.3076543088
"4ac1_2",41,0.13202574,3.05240010958163,280.4512218354
"4ac2_1",54.6,0.2341403064,1.38489023556528,47.471763339
"4ac2_1924",86.2,0.5835867576,1.00261511638274,110.5029926154
"4ac2_2",83.1,0.5423666094,0.73590906974236,37.4839281432
"4ac2_3",52.9,0.2197871214,1.39736612254202,99.854153784
"4ac3_1",47,0.17349486,1.86829549317449,57.1744590648
"4ac3_1954",41,0.13202574,3.78717653352974,238.2612224454
"4ac3_1967",47.3,0.1757167566,4.19247846869299,275.8663652976
"4ac3_2",38,0.11341176,3.15502245663672,108.9518943744
"4pj1_1",91.9,0.6633182094,1.02254573975203,429.1372962492
"4pj1_117",59.4,0.2771173944,0.680382718800044,74.033791062
"4pj1_118",38.6,0.1170214584,0.888081069886455,21.563848152
"4pj2_2",94,0.69397944,1.19275853336507,84.7810522944
"4pj2_3064",33.1,0.0860492094,2.06373486217621,90.202852278
"4pj2_3101",64.2,0.3237136056,1.12395523286661,117.33059184
"4pj3_1",47.1,0.1742339214,2.82209127083527,182.181639255
"4pj3_1965",54.7,0.2349987486,3.31481775061877,236.7696276792
"4pj3_1966",47.8,0.1794513336,4.51993748564443,291.811863189
"4pj3_2",78.3,0.4815201006,1.97445480250081,232.0578685656
"4pl1_1",136.6,1.4655218424,0.79139454584717,457.252277328
"4pl1_122",50.1,0.1971361854,2.65808505870427,333.9717558408
"4pl1_2",92,0.66476256,1.47517453849445,380.2690045308
"4pl2_1",152.3,1.8217580766,0.407836824463415,65.1665480928
"4pl3_1",78.4,0.4827508224,1.47080366000597,157.206861735
"4pl3_1959",91.6,0.6589945824,1.08597615263312,107.019098802
"4pp2_1",52,0.21237216,1.47936489914091,76.9617292752
"8ac1_1",72.5,0.412825875,1.43541053424227,223.180304655
"8ac1_2",9.9,0.0076977054,10.0246408330099,135.7078106538
"8ac1_3157",35.6,0.0995384544,3.14836430135361,75.943027776
"8ac2_1",25.2,0.0498760416,4.99543516286634,180.705805896
"8ac2_2",96,0.72382464,3.36466622847179,350.443936689
"8ac2_4",85.9,0.5795317374,5.38201930195153,332.656393839
"8ac2_528",20.7,0.0336536046,5.71911569128065,149.8332414348
"8ac2_533",49.3,0.1908906846,1.55872541815999,138.4228811196
"8ac2_543",105.2,0.8692053216,0.398364895984502,58.0116012168
"8ac3_3",53.2,0.2222870496,2.54647707223934,191.948634108
"8ac3_4",16,0.02010624,13.8166985201087,223.9723585638
"8pj1_1",67.2,0.3546740736,1.11065926641173,95.943945636
"8pj1_2",18,0.02544696,7.67103601482379,96.0459722376
"8pj1_3",47.3,0.1757167566,2.04179612299382,93.1908461022
"8pj1_497",71.5,0.401516115,1.15262506316195,185.0885483832
"8pj2_1",110.7,0.9624676446,2.30907380165714,271.00796415
"8pj2_2",95.8,0.7208118456,2.73161711656394,289.5288734646
"8pj2_552",42,0.13854456,2.86697216458659,178.932435528
"8pj3_1",101.2,0.8043626976,1.14868130134373,257.2023773088
"8pj3_2",41.6,0.1359181824,4.49595405124458,245.8157392152
"8pj3_598",42.2,0.1398671736,2.5700894505604,189.1011695496
"8pl1_1",119.5,1.121570835,0.521984904076981,88.1293821408
"8pl1_3150",44.5,0.155528835,2.42232818022311,78.6571565472
"8pl2_1",19.4,0.0295593144,14.5565584809298,353.88109449
"8pl2_2",87.3,0.5985761166,5.17171502214249,331.9517518086
"8pl2_3001",90.1,0.6375885054,10.7732017487642,78.327596424
"8pl3_1",15,0.0176715,8.92842644521374,169.718311224
"8pl3_2",8.2,0.0052810296,18.4083462775904,204.558050466
"8pl3_604",126.5,1.256816715,0.966007312632399,238.199626665
"9ac2_1",10.3,0.0083323086,18.5778403320284,485.953235922
"9ac2_2",9.2,0.0066476256,10.3126759084116,134.2524715224
"9am1_1",33,0.08553006,9.36113820240275,1609.959148644
"9am1_2",15.4,0.0186265464,23.9792871588745,2038.487447304
"9am1_3",39.5,0.122542035,9.39835964229379,2493.2905144224
"9am1_4",16.1,0.0203583534,24.5230102946945,2285.4746891592
"9am3_1",43.1,0.1458966894,5.34129113792039,991.38688925892
"9am3_2",19.2,0.0289529856,13.0482629059154,1024.50981478692
"9am3_3",52.8,0.2189569536,4.15999140368688,852.797847878592
"9am3_4",38.1,0.1140094494,6.74982538501186,1110.3504943608
"9am3_5",55.8,0.2445452856,4.14291961143598,916.7398533216
"9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746
"9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048
"9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952
"9pj1_4",40.5,0.128825235,9.62556906455973,2307.1983662112
"9pj1_5",32.7,0.0839820366,10.390914080416,2173.42163346
"9pj1_6",15.2,0.0181458816,37.7730820973769,2674.36879941
"9pj1_7",113.8,1.0171275576,2.92476767957673,1756.0106466672
"9pj2_1",112.8,0.9993303936,1.90515355564723,491.6543335704
"9pj2_2",16,0.02010624,17.2489598804514,582.2071726548
"9pj2_3",20.1,0.0317309454,19.2000846782864,589.642588227
"9pj2_4",64.4,0.3257336544,2.64723452134587,428.8778377884
"9pj2_5",18.9,0.0280552734,12.4089142399381,472.8341193114
"9pj2_6",14.7,0.0169717086,13.8977895151537,476.459956896
"9pj2_7",42.9,0.1445458014,4.17045274015727,377.548734717
"9pj2_8",59.4,0.2771173944,2.50396415645994,338.6898766944
"9pj3_1",42.1,0.1392050814,4.40167233153025,689.327468110512
"9pj3_2",33.4,0.0876160824,5.11969750377536,654.3303541236
"9pj3_3",123.2,1.1920989696,1.46355423348808,699.4108045848
"9pj3_4",115,1.0386915,1.9613193948865,1104.51726048233
"9pj3_5",50.5,0.200296635,4.77713488688036,1057.014198702
"9pj3_6",21.9,0.0376685694,10.7533909741981,847.782283887
