"Name","Longitude","Latitude","Date","Year","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spei18","spi12","spi18","Site","Neighborhood","siteno","Region","hilo"
"bm1",-116.7484844,33.83053568,"1895-09",1895,9,1895,660,9.23333333333333,0.811964117023452,-0.302611136375694,NA,NA,NA,NA,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1896-09",1896,9,1896,513,8.48333333333333,0.281564501750811,0.123398647897864,-0.658391927267345,-0.744681836244997,-0.797273541816289,-0.952409835847001,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1897-09",1897,9,1897,763,8.625,0.183907635456295,-0.943746977191752,0.290252146526437,0.232472801560461,0.361420614815385,0.282913696124023,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1898-09",1898,9,1898,468,8.775,-0.283550005451688,-0.0408306695184476,-0.987231057155766,-1.20611077678382,-1.04198184573982,-1.26864464555084,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1899-09",1899,9,1899,331,7.91666666666667,-2.23107537015941,-0.850372889592075,-1.30701601522932,-1.22111725239342,-1.84079056310824,-1.49014310473234,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1900-09",1900,9,1900,495,8.325,0.342445565334282,0.86646734707026,-0.690482083668474,-0.925874593575751,-0.894095199373052,-1.2890567915922,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1901-09",1901,9,1901,666,8.73333333333333,0.400455360799702,-0.497418918650518,-0.0840884106683408,0.134699942356651,-0.0424463415627031,0.137668000656914,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1902-09",1902,9,1902,542,8.33333333333333,-0.291945243469288,-0.431744087344358,-0.459909093788327,-0.625449187453716,-0.644450815522105,-0.859100825487731,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1903-09",1903,9,1903,754,7.59166666666667,1.1606583202223,0.803511079909839,0.467289472523635,0.257551970170964,0.326533077848282,-0.0110605027529015,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1904-09",1904,9,1904,470,9.00833333333333,0.274072269744594,-0.208538899364792,-0.982778459544362,-0.656931845943785,-1.03092124976827,-0.786182894472285,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1905-09",1905,9,1905,913,8.4,0.1354954936073,0.762256292425034,0.85437570593213,0.695746915000225,0.870248120319362,0.765003625246069,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1906-09",1906,9,1906,1198,7.94166666666667,0.360369812597402,1.33588052701412,1.56469713063766,1.59837299084568,1.54683774004161,1.53530456622353,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1907-09",1907,9,1907,845,7.94166666666667,-0.376109777732166,-0.417864309468658,0.713327751583283,0.982255079507652,0.655859820075587,0.917148224650382,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1908-09",1908,9,1908,935,8.20833333333333,1.78694580309828,1.66611006874512,0.93748974713051,0.735395189510501,0.934384115613353,0.61916785529742,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1909-09",1909,9,1909,911,7.95,0.263874852051905,-0.192581185904464,0.884346502339166,1.24288575556657,0.864296418041618,1.1866643811365,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1910-09",1910,9,1910,697,9.15,-1.13096304436665,-1.56798930424332,-0.0896158505649893,-0.206169142051275,0.093314181159889,0.00126261511678654,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1911-09",1911,9,1911,795,8.19166666666667,1.01034644837563,-0.0982649473378691,0.471172785195325,-0.0197864023149115,0.481271935261564,0.125875399591339,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1912-09",1912,9,1912,634,7.36666666666667,0.147762138346044,1.19376904933811,0.125742285168613,0.0184294436395837,-0.189054780880505,-0.351440936731248,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1913-09",1913,9,1913,567,7.5,-0.918167219474245,0.465437192107368,-0.171582584607013,0.19177296094004,-0.516063333625152,-0.271304709804006,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1914-09",1914,9,1914,943,8.48333333333333,-0.217909207463612,0.398780677035723,0.911479963501698,0.9063790143169,0.957113936975445,0.894978395488292,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1915-09",1915,9,1915,1014,7.575,0.494053914804346,1.7240820196687,1.22112847399605,1.19052282795721,1.14597118080074,1.08501806154944,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1916-09",1916,9,1916,1320,8.61666666666667,1.0083810698807,0.275996147922136,1.70315241311748,1.94120039972546,1.75987977925083,1.91324462640188,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1917-09",1917,9,1917,740,7.38333333333333,-0.777338897226036,1.05392084705325,0.455262276455654,0.427971737264381,0.271219927915575,0.211249375660982,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1918-09",1918,9,1918,618,9.03333333333333,-0.071172027050925,-0.557351304901988,-0.326343034674797,0.00281186565679489,-0.264750292917159,0.0298369671382265,"bm",1,11,"San Jac","high"
"bm1",-116.7484844,33.83053568,"1919-09",1919,9,1919,566,7.85,1.43158699254306,0.355376915603728,-0.3143761313127,-0.511922947275016,-0.521136139956339,-0.829852078823686,"bm",1,11,"San Jac","high"
