"","Region","Site","hilo","Species","Neighborhood","tree.uniqueID","hegyi","simple_comp","BA","DBH","no","yes","post1","post2","diff","drought_fx","post1_fx","post2_fx"
"1","Mammoth","ic","low","AC",2,"9ac2_1",18.5778430570276,191.351783487384,6.9421890846,10.3,0.979817784998163,1.03000980812488,1.03815380489369,1.03815380489369,-0.0501920231267138,-0.0512258747444637,-0.0595376209624935,-0.0797198359643309
"2","Mammoth","ic","low","AC",2,"9ac2_2",10.3126760879571,94.8766200092053,4.7947311258,9.2,0.988665581341389,0.986503190337284,1.06137190731499,1.06137190731499,0.00216239100410442,0.00218718143416155,-0.0735398575066745,-0.0848742761652858
"3","Mammoth","ic","low","AM",1,"9am1_1",9.46795817596861,312.442619806964,11.778321786,33,1.01009988209056,0.949760325620268,0.917703476096279,0.917703476096279,0.0603395564702919,0.0597362276148471,0.0914725440845037,0.101572426175063
"4","Mammoth","ic","low","AM",1,"9am1_2",24.4782405572737,376.964904582015,13.6897152084,15.4,1.01572734534331,0.927445873646392,0.972666097544566,0.972666097544566,0.0882814716969199,0.0869145367619114,0.0423944949362281,0.0581218402795398
"5","Mammoth","ic","low","AM",1,"9am1_3",9.53278071542642,376.544838259343,15.4334029542,39.5,0.98255172594792,1.07267599899042,0.990040071704602,0.990040071704602,-0.0901242730424994,-0.0917247109362631,-0.00762132471901912,-0.0250695987710992
"6","Mammoth","ic","low","AM",1,"9am1_4",24.7041512010797,397.736834337383,14.4438193746,16.1,1.00447389019766,0.967631475078547,0.839436920075689,0.839436920075689,0.0368424151191094,0.036678320341268,0.164301901455589,0.168775791653246
"7","Mammoth","ic","low","AM",3,"9am3_1",5.43176983915561,234.109280067607,7.365430596678,43.1,1.02688701006802,0.848310490513274,0.918841760421208,0.918841760421208,0.178576519554747,0.173900845763856,0.105216297983607,0.132103308051628
"8","Mammoth","ic","low","AM",3,"9am3_2",13.2697352891274,254.778917551246,7.439002156278,19.2,1.02066375898398,0.908708360077777,0.916513537854193,0.916513537854193,0.111955398906207,0.109688815656248,0.102041656924771,0.122705415908756
"9","Mammoth","ic","low","AM",3,"9am3_3",4.19022570659865,221.243917308409,6.464660826624,52.8,0.997946316007776,1.00386513313133,0.904356713096657,0.904356713096657,-0.00591881712354991,-0.00593099751821098,0.0937822019179534,0.0917285179257294
"10","Mammoth","ic","low","AM",3,"9am3_4",6.74982818354816,257.168453793185,9.9780373308,38.1,1.02293553047915,0.888680562328344,0.856168577650874,0.856168577650874,0.134254968150811,0.1312447990617,0.163027823219871,0.185963353699026
"11","Mammoth","ic","low","AM",3,"9am3_5",4.16844261570933,232.59909795658,8.245298061,55.8,1.01463874629075,0.911856855269866,0.842766319748563,0.842766319748563,0.102781891020887,0.101299000650852,0.169392729353683,0.184031475644436
"12","Mammoth","ic","low","PJ",1,"9pj1_1",8.98956124487409,337.108546682778,12.379270596,37.5,1.01179775895346,0.892153169999307,0.857853946307536,0.857853946307536,0.119644588954149,0.11824950974185,0.152148797804366,0.163946556757823
"13","Mammoth","ic","low","PJ",1,"9pj1_2",51.0578902229825,382.934176672368,13.6672629786,7.5,0.991710145204895,0.986916649393451,0.93051231448691,0.93051231448691,0.00479349581144439,0.00483356536647512,0.0617093926223179,0.0534195378272131
"14","Mammoth","ic","low","PJ",1,"9pj1_3",21.4235319119497,404.904753135848,14.972696739,18.9,0.979963684707011,1.02003939847909,0.942246789058228,0.942246789058228,-0.0400757137720811,-0.0408951009078085,0.0384880544426096,0.0184517391496211
"15","Mammoth","ic","low","PJ",1,"9pj1_4",9.73123715140702,394.115104631984,14.2199191134,40.5,0.998126894568937,0.98343083317052,0.923950815385713,0.923950815385713,0.0146960613984173,0.0147236403290827,0.0743152795369356,0.0724421741058731
"16","Mammoth","ic","low","PJ",1,"9pj1_5",10.5371862781911,344.565991296848,14.2647638826,32.7,1.00284310385533,0.934759674747946,0.918729757015351,0.918729757015351,0.0680834291073802,0.0678904096220441,0.0838748818400506,0.0867179856953767
"17","Mammoth","ic","low","PJ",1,"9pj1_6",38.008481736773,577.72892239895,15.5147421198,15.2,1.00651493417326,0.968578939784498,0.828514677831853,0.828514677831853,0.0379359943887657,0.0376904436295581,0.176848102594341,0.183363036767605
"18","Mammoth","ic","low","PJ",1,"9pj1_7",2.93606876514001,334.124625472933,11.7888869868,113.8,1.00224890974366,0.979992244116729,0.978524051295551,0.978524051295551,0.02225666562693,0.0222067247073608,0.0236716231042606,0.02592053284792
"19","Mammoth","ic","low","PJ",2,"9pj2_1",1.90515488139977,214.901470621894,5.8530277806,112.8,1.00671357568762,0.939906124516191,0.978441305009366,0.978441305009366,0.0668074511714332,0.066361925362734,0.0280837284417743,0.034797304129399
"20","Mammoth","ic","low","PJ",2,"9pj2_2",17.248966272003,275.983460352048,7.1000874714,16,0.994364583718448,0.92099261652902,0.985330156041598,0.985330156041598,0.0733719671894273,0.0737877921144891,0.00908562897832273,0.00345021269677048
"21","Mammoth","ic","low","PJ",2,"9pj2_3",19.2001247779447,385.922508036688,7.104127569,20.1,1.01496144397093,0.887972328889666,0.881391585002294,0.881391585002294,0.126989115081261,0.12511718138221,0.131600919189654,0.146562363160581
"22","Mammoth","ic","low","PJ",2,"9pj2_4",2.64723509752989,170.481940280925,6.4981490574,64.4,0.991621761692184,0.991438508687772,0.90565737103973,0.90565737103973,0.000183253004412909,0.000184801313860026,0.0866907060467876,0.078312467738972
"23","Mammoth","ic","low","PJ",2,"9pj2_5",12.4089223775349,234.528632935409,5.9852420166,18.9,0.994448787121962,0.97671665335795,0.89142608910389,0.89142608910389,0.0177321337640121,0.0178311180964187,0.103597791411894,0.0980465785338567
"24","Mammoth","ic","low","PJ",2,"9pj2_6",13.8977908448973,204.297525419991,5.9557494612,14.7,0.998679193301042,0.982569946378453,0.801681224267709,0.801681224267709,0.0161092469225894,0.0161305522640777,0.197258509393968,0.19593770269501
"25","Mammoth","ic","low","PJ",2,"9pj2_7",4.17045276958066,178.91242381501,5.471720793,42.9,0.988960270676192,1.03669261930426,0.910087041659345,0.910087041659345,-0.0477323486280699,-0.0482651831862096,0.0797536881465604,0.0687139588227528
"26","Mammoth","ic","low","PJ",2,"9pj2_8",2.50396417409207,148.735471941069,4.9085489376,59.4,0.989728915916274,1.00482523228812,0.852167794933326,0.852167794933326,-0.0150963163718444,-0.0152529810224535,0.138988685457974,0.128717601374248
"27","Mammoth","ic","low","PJ",3,"9pj3_1",4.43077868403159,186.53578259773,6.152890013424,42.1,0.993827506819666,0.989924678622825,0.964614666456622,0.964614666456622,0.00390282819684085,0.00392706799727272,0.0293942763332523,0.0232217831529186
"28","Mammoth","ic","low","PJ",3,"9pj3_2",5.11969754944437,170.997898151442,6.421654239,33.4,1.00527988038087,0.851979974002738,0.84191383427571,0.84191383427571,0.153299906378134,0.152494752327136,0.162508023181829,0.167787903562701
"29","Mammoth","ic","low","PJ",3,"9pj3_3",1.47382690370481,181.575474536432,6.089524287,123.2,1.01230840253473,0.950062544853542,0.678797499250396,0.678797499250396,0.0622458576811905,0.0614890259977417,0.329455828331814,0.341764230866547
"30","Mammoth","ic","low","PJ",3,"9pj3_4",1.99044900327892,228.901635377076,8.469223462854,115,0.968689479166098,1.06509277809325,0.9969104523046,0.9969104523046,-0.0964032989271481,-0.0995193000445688,-0.0291331471492757,-0.0604436679831774
"31","Mammoth","ic","low","PJ",3,"9pj3_5",4.77713653833976,241.245395186158,9.2055524484,50.5,0.998241219344943,1.00203218533581,0.85903794478911,0.85903794478911,-0.00379096599086393,-0.00379764521580425,0.139448533939703,0.137689753284646
